email|amount|accountA|accountB|currency
Please move 4101673 OMR dollars from account nZ to mg.|4101673|nZ|mg|OMR
Hi this is Elizabeth Scott. I need you to help me transfer 2696601 IRR from iVwSfPBu into 42jrfwc. How soon can this be completed? Please let me know.|2696601|iVwSfPBu|42jrfwc|IRR
Move $ 9462209 NAD to 205605460 from 839079808. Thanks.|9462209|839079808|205605460|NAD
Please move 889295 ARN dollars from account 22 to 1.|889295|22|1|ARN
Please take account EPYFGRXN6Q and move $ 4804519 CZK to account YSAWZNQ.|4804519|EPYFGRXN6Q|YSAWZNQ|CZK
We need this ASAP! Move $ 6738184 MNT into account 8LHQ8GGP06N from account 7N03FH5M!|6738184|7N03FH5M|8LHQ8GGP06N|MNT
Please move 3970603 CUP from 1vACby to account lydacmq. Thank you very much. Sincerely,Catherine Smith|3970603|1vACby|lydacmq|CUP
Please transfer $ 7926233 SBD from account ciJf to account wIVU. Thank you!|7926233|ciJf|wIVU|SBD
Please transfer $ 9461884 SBD from account wKf to account cgM. Thank you!|9461884|wKf|cgM|SBD
To whom it may concern: Hello I need assistance with a money transfer that will not go through. I'd like to move funds from 157118145 of the amount $ 1244141 MXN. This needs to be transferred to this account, 468727249. Best, Kelsey Robinson|1244141|157118145|468727249|MXN
Please transfer $ 33401 NAD from account L to account E. Thank you!|33401|L|E|NAD
Hello, this is an email regarding a transfer that I need assistance with. Please help me move 3151877 CUP from 322554693. The funds need to be transferred to the account 101364298. Can this be done? and when? Let me know if you need additional details. Thanks.|3151877|322554693|101364298|CUP
hey friend! can u help w a transfer? i need to take 9580379 OMR usd from 593475968 nd put into acct 731660469 thx Madison Johnson|9580379|593475968|731660469|OMR
Good evening, I am writing this email to authorize a transaction. Is the following amount feasible for a transfer? I need to move $ 7891831 ZAR from account uSmgBh to z4foe6aa. If there is any trouble, please don't hesitate to reach out. Thanks, Kyle Knight|7891831|uSmgBh|z4foe6aa|ZAR
HiMartin Salas could you transfer $ 4355369 ISK from C37WO6T5DJ3to 2QH. Thank you so much. Best Regards, John Mejia|4355369|C37WO6T5DJ3|2QH|ISK
Hi, can you please transfer $ 7792644 RSD USD from account Glhqc6wocGVV to the account c1rfr9. Thanks!Michael Richardson|7792644|Glhqc6wocGVV|c1rfr9|RSD
Dear Gail Hooper, I am here to inform you of a bank transfer that my client is requesting. Could you move $ 3432616 FJD from SY9HbSTy into account os0zpe. When will these funds be available? My client needs this to be completed as soon as possible.|3432616|SY9HbSTy|os0zpe|FJD
We need to remove 7073490 BMD from g7htRXUa4 and deposit this into cidiakdnvcr. Thanks. Let me know when it's done.|7073490|g7htRXUa4|cidiakdnvcr|BMD
Please do the following and move 2301626 LKR from 2Q4W2E8V to account QMSK0. Thank you very much.|2301626|2Q4W2E8V|QMSK0|LKR
Hi, I hope this email finds you well. We have an urgent request. Could $ 6794563 CZK be transferred into account 9vxbeykn from yjpito8UpWR? Let me know. Have a great rest of your evening. Best regards,Brittany Roberts|6794563|yjpito8UpWR|9vxbeykn|CZK
Hello and good evening. I, Gloria Heath, am the account owner of the two bank accounts: 371968732 and 574879028. I need to move 3333070 ARN dollars from 371968732 and deposit this into 574879028. Please make sure that all of the information is correct before submitting the transfer. Thank you so much.|3333070|371968732|574879028|ARN
Hi this is Gerald Johnson. I need you to help me transfer 2660875 CNY from OWYO2HQKY into FWS1SP. Thanks so much.|2660875|OWYO2HQKY|FWS1SP|CNY
I need a transfer ASAP. Please take $ 7585442 KGS from FJmmBCj and put this in account rlggb|7585442|FJmmBCj|rlggb|KGS
HiJamie Wagner could you transfer $ 9973120 CAD from YXHRVAVGWVto GOOVELH. Thank you so much. Best Regards, Kelly Reynolds|9973120|YXHRVAVGWV|GOOVELH|CAD
Hello and good evening. I, Jessica Boyle, am the account owner of the two bank accounts: dh58jlVhwhIp and x21trhsssye. I need to move 7349207 UYU dollars from dh58jlVhwhIp and deposit this into x21trhsssye. Please make sure that all of the information is correct before submitting the transfer. Thank you so much.|7349207|dh58jlVhwhIp|x21trhsssye|UYU
 $ 6848527 PYG needs to be moved from account YF2YL76AV3MW to this account titled 556K6N.Thanks so much.|6848527|YF2YL76AV3MW|556K6N|PYG
Hello. $ 323143 BBD needs to be moved from account 146288924 to this account 155308779. Thanks!Bryan Mitchell|323143|146288924|155308779|BBD
Please transfer $ 2196693 TWD from account Uos674 to account qhS857. Thank you!|2196693|Uos674|qhS857|TWD
Hi, I have attempted (unsuccessfully) to conduct the following transfer. I'd like to submit a transfer request, please take account 707563003 and move $ 5406820 INR to account 509980064. I'm going to need this done as soon as you get the chance. I also will need a confirmation of this as soon as it is processed.Joseph Jones|5406820|707563003|509980064|INR
Hi, I hope this email finds you well. We have an urgent request. Could $ 6768366 TRY be transferred into account v3kvwb from u7KWWM? Let me know. Have a great rest of your evening. Best regards,Eric Gregory|6768366|u7KWWM|v3kvwb|TRY
Please move 4319245 LBP dollars from account 87DyR to 65FDo.|4319245|87DyR|65FDo|LBP
Could you move money from account 993289449 to account 567832600 of the amount $ 9604447 IMP. Thank you!|9604447|993289449|567832600|IMP
Hi Mark Reed could you transfer 3822139 MUR from account 4U2C to account NLZL.|3822139|4U2C|NLZL|MUR
Good afternoon, we need assistance with a money transfer. We need this ASAP! Move $ 422517 ISK into account 283961658 from account 950395471. Because this is on behalf of my client, please make sure there are no errors when conducting the transfer! Thank you, please send confirmation after this is done.|422517|950395471|283961658|ISK
Hello, please help me move 8768606 KHR from DQGSWVGLJ3TZ to account U7EUOG3 Can this be done?|8768606|DQGSWVGLJ3TZ|U7EUOG3|KHR
Please transfer $ 6819743 BZD from account PiC to account p. Thank you!|6819743|PiC|p|BZD
Good afternoon, we need assistance with a money transfer. We need this ASAP! Move $ 674846 LAK into account 700363365 from account 127426378. Because this is on behalf of my client, please make sure there are no errors when conducting the transfer! Thank you, please send confirmation after this is done.|674846|127426378|700363365|LAK
Hi, could $ 2533100 SGD be transferred into account 471643444 from 903146021? Let me know. Thanks.|2533100|903146021|471643444|SGD
We need a transfer of $ 7873034 DKKfrom account 4T86to account BDJHYTG. This needs to be done today. Thanks!|7873034|4T86|BDJHYTG|DKK
hey i'm looking to do a transfer. could you please send 6881865 SAR from account PTBWUN to account 2ZN8U.|6881865|PTBWUN|2ZN8U|SAR
Dear Whitney Turner could you move $ 5271976 MKD from O8UU5F5VD7 into account EXVHVWYZ9M7.|5271976|O8UU5F5VD7|EXVHVWYZ9M7|MKD
Please move 796661 SAR dollars from account YClk to YWN.|796661|YClk|YWN|SAR
Good afternoon, we need assistance with a money transfer. We need this ASAP! Move $ 7238776 KYD into account 930396538 from account 166968752. Because this is on behalf of my client, please make sure there are no errors when conducting the transfer! Thank you, please send confirmation after this is done.|7238776|166968752|930396538|KYD
HiThomas Mclaughlin could you transfer $ 603210 ZWD from 747540057to 107786296. Thank you so much. Best Regards, Jacob Graham|603210|747540057|107786296|ZWD
Hi, this is Joshua Rivera, and this is to confirm a transfer that my client, Larry Leonard, is requesting to be completed in the next couple of days. Could you move money from account 91yARl0 to account jbnuofxw9r of the amount $ 5389859 BSD. Thank you! Please send me a receipt of the completed transfer for my client.|5389859|91yARl0|jbnuofxw9r|BSD
